0,24,30,36,42,48,54,60,66,72,84,90,96,102,108
36,340,360,385,415,445,485,515,550,585,655,695,765,845,905
42,360,375,405,435,475,515,535,595,630,705,745,825,905,975
48,370,385,420,465,500,545,590,635,675,760,800,885,975,1045
54,380,400,445,485,535,585,625,675,715,810,855,950,1045,1100
60,395,415,465,515,565,615,665,715,760,860,910,1010,1100,1175
66,405,430,485,540,595,645,700,755,800,915,965,1065,1175,1245
72,420,450,505,565,625,675,735,795,850,960,1020,1130,1245,1310
78,435,470,530,595,650,715,775,835,895,1015,1075,1190,1310,1350
84,450,485,550,615,680,745,805,875,935,1065,1130,1255,1350,1375
90,460,505,575,640,710,775,845,915,980,1115,1185,1315,1375,1445
96,470,525,595,665,735,810,885,955,1025,1165,1235,1375,1445,1495
102,485,545,615,695,765,845,915,995,1065,1215,1305,1445,1495,1550
108,500,565,640,715,795,875,955,1035,1115,1265,1345,1495,1550,1695
120,535,595,685,765,855,945,1025,1115,1195,1375,1455,1615,1695,1795
